date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:17	75/75	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Apr%202023%2014:53:18%20GMT	https://financemagnow.com/robots.txt		(from )
09:47:18	121230/121230	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:46:36%20GMT	https://financemagnow.com/	C:/Users/user/Desktop/frontend/finance/financemagnow.com/index.html	(from )
09:47:19	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:47:18%20GMT	https://financemagnow.com/top-100-investors-of-2022/	C:/Users/user/Desktop/frontend/finance/financemagnow.com/top-100-investors-of-2022/index.html	(from https://financemagnow.com/)
09:47:19	163828/163828	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/bootstrap/css/bootstrap.min.css	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/bootstrap/css/bootstrap.min.css	(from https://financemagnow.com/)
09:47:20	87931/87931	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/css/style.css	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/css/style.css	(from https://financemagnow.com/)
09:47:21	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:47:20%20GMT	https://financemagnow.com/financemag-image.jpg	C:/Users/user/Desktop/frontend/finance/financemagnow.com/financemag-image.jpg	(from https://financemagnow.com/)
09:47:21	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Tue,%2028%20Mar%202023%2017:06:49%20GMT	https://financemagnow.com/favicon.ico	C:/Users/user/Desktop/frontend/finance/financemagnow.com/favicon.ico	(from https://financemagnow.com/)
09:47:24	2344/2344	---M-Z	400	error ('Bad%20Request')	text/html	date:Sat,%2013%20Jan%202024%2008:47:21%20GMT	https://twitter.com/financemagnow-image.jpg	C:/Users/user/Desktop/frontend/finance/twitter.com/financemagnow-image.4.delayed	(from https://financemagnow.com/)
09:47:25	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:47:24%20GMT	https://financemagnow.com/financial-term-dictionary-4769738	C:/Users/user/Desktop/frontend/finance/financemagnow.com/financial-term-dictionary-4769738	(from https://financemagnow.com/)
09:47:26	50029/50029	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:53:07%20GMT	https://financemagnow.com/stocks.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/stocks.html	(from https://financemagnow.com/)
